,Zip Code,Property Type,Avg. Sq Ft,Avg. Market Value,Avg. Year Built
0,78732,TYPE UNKNOWN,0,0,0
1,78732,RESIDENTIAL ACREAGE,0,1150,0
2,78732,RESIDENTIAL ACREAGE,0,52000,1997
3,78732,COMMON AREA,60081,12700000,1980
4,78732,SFR,1796,282044,1960
5,78732,MOBILE HOME,672,2422,1998
6,78732,MOBILE HOME,750,28737,2015
7,78732,MOBILE HOME,720,2487,1968
8,78732,SFR,2708,717618,1970
9,78732,SFR,1120,244747,1952
10,78732,TYPE UNKNOWN,0,0,0
11,78732,RESIDENTIAL ACREAGE,0,1150,0
12,78732,RESIDENTIAL ACREAGE,0,52000,1997
13,78732,COMMON AREA,60081,12700000,1980
14,78732,SFR,1796,282044,1960
15,78732,MOBILE HOME,672,2422,1998
16,78732,MOBILE HOME,750,28737,2015
17,78732,MOBILE HOME,720,2487,1968
18,78732,SFR,2708,717618,1970
19,78732,SFR,1120,244747,1952
20,78732,SFR,4907,882300,2012
21,78732,SFR,2582,299800,1979
22,78732,COMMON AREA,0,1930579,1978
23,78732,MOBILE HOME,1404,8857,1993
24,78732,MOBILE HOME,952,3938,1978
25,78732,MOBILE HOME,1216,7675,1993
26,78732,MOBILE HOME,2128,24127,1996
27,78732,MOBILE HOME,924,10230,1995
28,78732,MOBILE HOME,672,2849,1998
29,78732,MOBILE HOME,1216,6059,1985
30,78732,MOBILE HOME,720,2363,1968
31,78732,MOBILE HOME,1120,4661,1981
32,78732,MOBILE HOME,1152,7097,1982
33,78732,MOBILE HOME,1216,8079,1995
34,78732,MOBILE HOME,980,3804,1978
35,78732,MOBILE HOME,750,29664,2015
36,78732,MOBILE HOME,1152,15403,2015
37,78732,MOBILE HOME,1216,7876,1994
38,78732,MOBILE HOME,1152,3241,2016
39,78732,SFR,2320,539881,1956
40,78732,MOBILE HOME,540,684,1965
41,78732,SFR,1420,533267,1972
42,78732,SFR,2264,370784,1982
43,78732,SFR,3704,460236,1972
44,78732,SFR,1884,362596,1998
45,78732,SFR,2224,370131,1985
46,78732,SFR,6124,649600,2000
47,78732,SFR,0,225000,1982
48,78732,SFR,2987,456483,1999
49,78732,SFR,3277,562920,2004
50,78732,RESIDENTIAL ACREAGE,2760,225000,1995
51,78732,SFR,2483,593803,2014
52,78732,SFR,2460,382048,1987
53,78732,SFR,1423,326079,1985
54,78732,SFR,2355,529014,2007
55,78732,SFR,1642,330732,1998
56,78732,SFR,2752,446500,2001
57,78732,SFR,2538,347753,2016
58,78732,RESIDENTIAL ACREAGE,0,95000,1975
59,78732,SFR,2320,522376,1999
60,78732,SFR,2477,538031,1971
61,78732,SFR,3817,586973,1983
62,78732,SFR,2934,633668,2002
63,78732,SFR,960,637101,1958
64,78732,RESIDENTIAL ACREAGE,0,442800,1980
65,78732,SFR,2563,360000,2003
66,78732,SFR,1968,259519,1999
67,78732,SFR,2940,447351,1983
68,78732,SFR,3715,647416,2016
69,78732,SFR,2029,305708,1999
70,78732,SFR,3106,538224,2016
71,78732,RESIDENTIAL ACREAGE,0,47500,1975
72,78732,RESIDENTIAL ACREAGE,0,47500,1975
73,78732,SFR,2529,381955,2001
74,78732,SFR,3301,535816,2006
75,78732,SFR,4819,649270,2006
76,78732,SFR,4440,557292,1979
77,78732,SFR,3248,343301,2000
78,78732,SFR,4481,489992,2001
79,78732,RESIDENTIAL ACREAGE,0,95000,1994
80,78732,RESIDENTIAL ACREAGE,0,95000,1994
81,78732,SFR,863,151932,1999
82,78732,SFR,1239,139252,1975
83,78732,SFR,2372,363445,2014
84,78732,SFR,704,99763,1983
85,78732,SFR,3272,531838,1968
86,78732,SFR,1806,239870,2000
87,78732,SFR,2772,328696,2002
88,78732,RESIDENTIAL ACREAGE,0,47500,2000
89,78732,SFR,2127,314959,2003
90,78732,FARMS,0,237500,1980
91,78732,SFR,3527,129890,2018
92,78732,TRIPLEX,1699,208555,1978
93,78732,SFR,1550,231944,1980
94,78732,SFR,2387,453878,2004
95,78732,SFR,3048,342204,1957
96,78732,SFR,1748,229610,1979
97,78732,SFR,1672,229191,1980
98,78732,SFR,1979,246664,1977
99,78732,SFR,3382,494908,1995
100,78732,SFR,2789,473913,2005
101,78732,SFR,1110,339192,1957
102,78732,RESIDENTIAL ACREAGE,0,161500,1996
103,78732,SFR,2641,531314,1968
104,78732,SFR,1768,226855,1979
105,78732,SFR,1705,248282,1979
106,78732,SFR,2274,487156,1957
107,78732,SFR,3796,566718,2005
108,78732,RESIDENTIAL ACREAGE,0,95000,1994
109,78732,COMMON AREA,5123,459108,1978
110,78732,SFR,2388,316453,1994
111,78732,RESIDENTIAL ACREAGE,0,114000,1955
112,78732,SFR,1530,184698,1978
113,78732,SFR,2701,338161,1997
114,78732,SFR,0,98432,2007
115,78732,SFR,2660,565227,2007
116,78732,SFR,2189,317695,2000
117,78732,SFR,4674,701284,2011
118,78732,SFR,1710,166029,2018
119,78732,SFR,3047,409831,1992
120,78732,SFR,1332,135039,1957
121,78732,SFR,1600,267097,1961
122,78732,SFR,2895,498233,2007
123,78732,SFR,4554,620000,1963
